,loop,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,learning_rate,random_state,score
18,18,46,"(70,)","(0,)",0.7073839877640673,0.8737594302062087,0.019892498031127463,0.08502349091180454,10,1.1957541920002691e-08,42,2.679727537580212
60,60,188,"(152,)","(0,)",0.9623050945950309,0.9548932313006465,4.688256096211953e-06,3.649327549191703e-09,10,7.409667810141182e-09,42,2.6797275620165935
14,14,191,"(47,)","(0,)",0.29362549981493646,0.15983876761215957,0.0013891114813601082,3.0449649120821887e-08,10,2.3124331496898672e-08,42,2.6797275633657613
53,53,110,"(108,)","(0,)",0.5535087523384188,0.8077755558617006,0.0030041415110291765,2.9864990196534457e-13,10,6.999728260393571e-09,42,2.6797275693260247
40,40,117,"(140,)","(0,)",0.5891351175153082,0.5853506427099255,0.00030289530337100303,0.03200826385244456,10,8.404290055669987e-09,42,2.6797275715484727
95,95,110,"(79,)","(0,)",0.32564617730026224,0.6340845371159948,0.00022566231761323422,0.0024174133122972195,10,6.8568987301295176e-09,42,2.679727575343245
16,16,89,"(86,)","(0,)",0.5244840286609341,0.6882663911429188,3.4327179925991887e-10,1.7084374046017622e-07,10,5.559781386400235e-09,42,2.679727583023898
61,61,180,"(154,)","(0,)",0.27562066283686165,0.5848312140406843,6.531127964389379e-05,0.002103729631361127,10,5.328343083903138e-09,42,2.6797275884172023
73,73,170,"(61,)","(0,)",0.2980441447585501,0.2974618075828771,0.037591695063361505,8.71979175667645e-08,10,7.750753742254952e-09,42,2.679727590940143
58,58,114,"(189,)","(0,)",0.9585925176016609,0.598153899815772,4.866538124218068e-07,2.546727105969951e-13,10,4.0984346296692225e-09,42,2.67972759768802
88,88,166,"(161,)","(0,)",0.6727784536086611,0.5202673658389101,2.7452237523861888e-06,7.934155362256946e-10,10,3.868950454935283e-09,42,2.6797275994624408
74,74,34,"(44,)","(0,)",0.9149816323163659,0.2761950545673098,0.0008625551403777208,3.1030089030763306e-12,10,5.911650197205048e-09,42,2.6797276039167537
0,0,21,"(68,)","(0,)",0.9551371372147819,0.22905740316286566,5.925271783778294e-10,2.8455080097877878e-08,10,4.603474617821799e-09,42,2.6797276092058087
99,99,31,"(188,)","(0,)",0.6143330420425483,0.6932548912253175,0.024443977530953936,1.0239224872495067e-08,10,1.9955234975007425e-09,42,2.679727610192473
68,68,113,"(170,)","(0,)",0.46975077035485024,0.41423140677568604,1.6218101003825243e-08,5.870360109777106e-15,10,1.8873257509559873e-09,42,2.679727612361491
24,24,30,"(137,)","(0,)",0.476845502751554,0.40899714013561583,3.1219020759361694e-07,3.6195828089296274e-13,10,1.932548964229745e-09,42,2.6797276136229824
19,19,24,"(96,)","(0,)",0.6376095335232512,0.8240379934341452,0.00017921652996915908,1.372177100663205e-14,10,1.2525316453078243e-09,42,2.679727614005484
69,69,79,"(39,)","(0,)",0.45672177995868535,0.8798079210409167,2.0878880355788423e-08,5.318798012006849e-15,10,5.687399996836346e-10,42,2.6797276171773436
62,62,51,"(124,)","(0,)",0.2188349823187511,0.5039545166988451,2.5702826442671494e-10,5.150919137583566e-09,10,8.225234945410981e-10,42,2.6797276174085987
4,4,71,"(21,)","(0,)",0.41764856078554224,0.8351956766275834,0.0016462786438270307,2.6862012157751362e-15,10,5.337019125503542e-10,42,2.6797276175675964
86,86,97,"(86,)","(0,)",0.8269440234099191,0.3895694540773801,4.349232166210694e-06,1.2736076684051857e-10,10,7.336153979311323e-10,42,2.6797276181482186
20,20,49,"(147,)","(0,)",0.6519636983877385,0.22658813158377994,8.734575594484616e-08,1.235433370054929e-07,10,1.1947516760495848e-09,42,2.6797276186861776
22,22,157,"(173,)","(0,)",0.4867201417718139,0.6733491079976823,2.0124025739060977e-06,2.9036426306389653e-11,10,2.516915243007679e-10,42,2.6797276199734146
77,77,162,"(159,)","(0,)",0.4108510378808983,0.7399984847900631,1.1844550646093012e-06,8.528019684460984e-13,10,1.9166306794605482e-10,42,2.6797276203374247
84,84,130,"(131,)","(0,)",0.23681230874976028,0.8743206476685564,0.005934013658978324,1.1508474177080497e-15,10,1.4451537258389092e-10,42,2.679727620582057
81,81,11,"(146,)","(0,)",0.79049246878829,0.15468225506597666,1.5111196623208297e-07,2.2285665794819e-12,10,6.952925667086139e-10,42,2.6797276206186895
72,72,51,"(91,)","(0,)",0.884652366456824,0.1808075653805418,1.459480150797063e-05,3.8016868817102063e-14,10,2.6515924332429223e-10,42,2.679727621163421
82,82,194,"(137,)","(0,)",0.3947460836215353,0.15612077069237718,9.437391181305694e-06,9.10232274589502e-13,10,2.464651590476467e-10,42,2.6797276212120016
